# this is a demo-export
#
# Stage :   0.000000  -  186.000000 
# AD-Channels:  undeformt    deformt   Unit
#     AD-0:     0.008545    0.788879    V
#     AD-1:     0.013123    0.290527    V
#
# Time  :  undeformt: 0.000000     [seconds since 01.01.1970]
#            deformt: 44.011938     [seconds since 01.01.1970]
#
#
# Index_x, Index_y, Coordinate-undef (x,y,z), Coord-def (x,y,z), Displ(x,y,z), Strain (x,y,Major, Minor, Thicknessreduction), AD-Channel 1 + 2
#
#  
   2    0  -0.108397 5.887992 6.430720    -0.042883 8.236391 6.420966    0.065515 2.348399 -0.009754             
   3    0  0.668839 5.872955 6.442755    0.728860 8.232521 6.427307    0.060021 2.359566 -0.015448    -0.707641 2.326892 2.328179 -0.708928 1.577463
   4    0  1.448055 5.859084 6.445135    1.505517 8.228492 6.432673    0.057462 2.369408 -0.012462    -0.784825 1.966638 1.966659 -0.784846 1.152930
   5    0  2.231384 5.845210 6.424186    2.281015 8.220816 6.441384    0.049631 2.375605 0.017198    -0.784940 1.591837 1.631320 -0.824423 0.787202
   6    0  3.011741 5.831672 6.426429    3.060327 8.211509 6.444371    0.048586 2.379838 0.017942    -0.186028 1.325499 1.330957 -0.191486 1.124141
   7    0  3.790933 5.815423 6.438819    3.841640 8.200532 6.446418    0.050707 2.385109 0.007599    -0.184530 1.396676 1.421318 -0.209171 1.194727
   8    0  4.572823 5.801563 6.437952    4.620551 8.189045 6.450439    0.047728 2.387481 0.012487    -0.449490 1.220061 1.224247 -0.453677 0.759208
   9    0  5.355749 5.787760 6.434122    5.400540 8.177080 6.455270    0.044791 2.389320 0.021147    -0.384712 1.235599 1.236528 -0.385641 0.839020
  10    0  6.137878 5.773644 6.438483    6.181298 8.162657 6.455615    0.043420 2.389013 0.017132    -0.343769 1.213385 1.219188 -0.349572 0.857930
  11    0  6.922421 5.759552 6.431637    6.963862 8.147879 6.454326    0.041441 2.388327 0.022688    -0.434754 1.394448 1.410262 -0.450568 0.944337
  12    0  7.706314 5.746039 6.432168    7.745139 8.132607 6.454492    0.038824 2.386568 0.022324    -0.571395 1.699508 1.721248 -0.593135 1.105545
  13    0  8.489455 5.731292 6.440052    8.523924 8.115107 6.458060    0.034468 2.383815 0.018008    -0.692842 2.205284 2.217306 -0.704864 1.474739
  14    0  9.274973 5.717571 6.437533    9.304396 8.094733 6.457060    0.029423 2.377162 0.019527             
   2    1  -0.125630 5.118628 6.444216    -0.043648 7.444381 6.418107    0.081982 2.325753 -0.026109    -0.900282 3.116817 3.129516 -0.912981 2.141116
   3    1  0.652301 5.103068 6.451821    0.725375 7.445821 6.433109    0.073074 2.342753 -0.018713    -0.968154 2.880149 2.881187 -0.969192 1.849230
   4    1  1.431515 5.088077 6.454376    1.500152 7.444045 6.433736    0.068637 2.355968 -0.020640    -0.929570 2.453758 2.462168 -0.937980 1.478894
   5    1  2.214252 5.074716 6.437778    2.273788 7.438481 6.437969    0.059536 2.363765 0.000192    -0.938839 2.159237 2.175946 -0.955548 1.185386
   6    1  2.995571 5.060917 6.434129    3.049372 7.430492 6.449315    0.053801 2.369575 0.015186    -0.463410 1.990500 1.996048 -0.468958 1.495039
   7    1  3.773968 5.044003 6.451817    3.827184 7.418788 6.448225    0.053216 2.374785 -0.003592    -0.437806 1.918878 1.918904 -0.437833 1.451297
   8    1  4.555840 5.030123 6.451374    4.604931 7.408492 6.449499    0.049091 2.378369 -0.001875    -0.636816 1.939360 1.942557 -0.640013 1.273679
   9    1  5.338890 5.016146 6.447071    5.384027 7.396746 6.451546    0.045137 2.380600 0.004475    -0.573178 1.933454 1.944448 -0.584172 1.330964
  10    1  6.121601 5.002130 6.448243    6.162944 7.382045 6.459389    0.041343 2.379915 0.011145    -0.526440 1.923485 1.947914 -0.550869 1.367359
  11    1  6.905575 4.987432 6.445032    6.943133 7.365804 6.458821    0.037557 2.378372 0.013789    -0.601164 1.999005 2.031682 -0.633840 1.366045
  12    1  7.690420 4.973269 6.440155    7.722417 7.347543 6.456418    0.031997 2.374273 0.016263    -0.750850 2.224349 2.255947 -0.782449 1.434956
  13    1  8.474380 4.958895 6.443735    8.500458 7.326645 6.453651    0.026078 2.367750 0.009916    -0.862787 2.559205 2.587521 -0.891103 1.645820
  14    1  9.258823 4.944215 6.447609    9.277764 7.303023 6.454075    0.018942 2.358808 0.006465    -0.551295 2.736036 2.799430 -0.614689 2.121548
   2    2  -0.142371 4.346535 6.453771    -0.035578 6.641754 6.420041    0.106794 2.295219 -0.033730    -1.519792 4.515775 4.556358 -1.560376 2.841768
   3    2  0.636605 4.333131 6.455240    0.728897 6.649267 6.432218    0.092291 2.316136 -0.023021    -1.494424 4.444782 4.458875 -1.508517 2.802302
   4    2  1.415584 4.318245 6.459863    1.499440 6.649980 6.433294    0.083856 2.331735 -0.026569    -1.324615 4.352233 4.383270 -1.355652 2.882634
   5    2  2.195720 4.303292 6.460303    2.269504 6.645393 6.436103    0.073784 2.342101 -0.024201    -1.327768 4.273402 4.304665 -1.359031 2.806116
   6    2  2.977304 4.289224 6.455100    3.041945 6.639219 6.441186    0.064641 2.349995 -0.013914    -1.079390 4.176249 4.185675 -1.088817 2.960937
   7    2  3.758560 4.273384 6.455182    3.816735 6.628537 6.444607    0.058175 2.355153 -0.010575    -1.037132 4.066073 4.066416 -1.037475 2.900134
   8    2  4.541454 4.259552 6.448867    4.591647 6.617190 6.441791    0.050193 2.357638 -0.007076    -1.041254 4.019887 4.024410 -1.045777 2.852774
   9    2  5.323636 4.245000 6.450313    5.366027 6.603916 6.441302    0.042391 2.358916 -0.009010    -0.954972 3.952908 3.975465 -0.977529 2.874030
  10    2  6.105307 4.229988 6.458038    6.140439 6.589473 6.448081    0.035132 2.359485 -0.009957    -0.951335 3.843530 3.893864 -1.001669 2.774042
  11    2  6.889684 4.215244 6.452777    6.917781 6.574211 6.456556    0.028097 2.358967 0.003780    -0.997150 3.727612 3.790150 -1.059689 2.619817
  12    2  7.674017 4.201389 6.451345    7.694112 6.554271 6.452164    0.020095 2.352883 0.000819    -1.126702 3.688091 3.753419 -1.192031 2.454867
  13    2  8.458397 4.186966 6.452811    8.468511 6.531344 6.461373    0.010114 2.344378 0.008562    -1.259232 3.766709 3.833722 -1.326245 2.397729
  14    2  9.245667 4.171775 6.440799    9.246062 6.504682 6.462105    0.000395 2.332907 0.021306    -1.030267 3.809098 3.926164 -1.147333 2.661038
   2    3  -0.160018 3.576907 6.470045    -0.021995 5.831022 6.416623    0.138024 2.254115 -0.053422    -2.347289 6.178982 6.238453 -2.406760 3.550823
   3    3  0.619571 3.562603 6.467517    0.739766 5.837656 6.425162    0.120195 2.275053 -0.042355    -2.101646 6.414199 6.448879 -2.136327 4.007480
   4    3  1.399727 3.548110 6.464817    1.505479 5.837458 6.426460    0.105752 2.289347 -0.038357    -1.906430 6.831138 6.871827 -1.947119 4.571871
   5    3  2.179646 3.533508 6.467209    2.271527 5.830085 6.410675    0.091881 2.296577 -0.056534    -1.801431 7.093570 7.116439 -1.824300 4.908901
   6    3  2.960808 3.518396 6.464929    3.039905 5.823964 6.404539    0.079097 2.305568 -0.060389    -1.696342 7.159059 7.162612 -1.699896 5.070164
   7    3  3.742994 3.503509 6.459723    3.807257 5.816352 6.422510    0.064263 2.312842 -0.037213    -1.698050 7.062546 7.062575 -1.698079 4.983219
   8    3  4.525373 3.488476 6.456827    4.575584 5.804865 6.425485    0.050211 2.316389 -0.031342    -1.609951 6.864996 6.868444 -1.613398 4.892547
   9    3  5.307351 3.473294 6.459799    5.346671 5.792111 6.422719    0.039319 2.318817 -0.037080    -1.483904 6.647762 6.667109 -1.503251 4.819589
  10    3  6.089092 3.457852 6.467393    6.116909 5.778925 6.428507    0.027816 2.321073 -0.038886    -1.479255 6.415314 6.464856 -1.528797 4.614033
  11    3  6.873478 3.442050 6.462257    6.889007 5.763373 6.442007    0.015529 2.321322 -0.020250    -1.536040 6.093542 6.167464 -1.609962 4.267934
  12    3  7.657493 3.427952 6.463011    7.661591 5.745881 6.449340    0.004097 2.317929 -0.013671    -1.661597 5.648855 5.748329 -1.761072 3.740662
  13    3  8.442790 3.413994 6.459583    8.433095 5.725274 6.460279    -0.009695 2.311280 0.000696    -1.689952 5.188662 5.290839 -1.792130 3.291840
  14    3  9.230490 3.398408 6.445429    9.205781 5.697456 6.459379    -0.024709 2.299048 0.013949    -1.748700 4.949525 5.071388 -1.870563 3.012398
   2    4  -0.176270 2.807625 6.476897    -0.007656 5.011811 6.407573    0.168614 2.204186 -0.069324    -3.445646 6.772697 6.831993 -3.504941 2.995117
   3    4  0.602658 2.793119 6.479209    0.750390 5.010400 6.409951    0.147731 2.217281 -0.069258    -2.572602 7.583482 7.596334 -2.585454 4.593335
   4    4  1.383093 2.777686 6.474854    1.510564 5.003326 6.406549    0.127472 2.225640 -0.068305    -2.472738 8.155696 8.164944 -2.481985 5.195572
   5    4  2.162747 2.762621 6.479267    2.270077 4.994854 6.384601    0.107329 2.232233 -0.094666    -2.277022 8.427766 8.429790 -2.279046 5.623539
   6    4  2.944131 2.746695 6.475764    3.034614 4.986198 6.378532    0.090483 2.239503 -0.097232    -2.132456 8.520662 8.520999 -2.132792 5.843779
   7    4  3.725905 2.732017 6.473574    3.798000 4.978403 6.390874    0.072095 2.246385 -0.082701    -2.138055 8.544822 8.546056 -2.139289 5.859264
   8    4  4.507954 2.716824 6.473025    4.562686 4.968926 6.385954    0.054732 2.252102 -0.087071    -2.034966 8.408201 8.410995 -2.037759 5.839672
   9    4  5.290948 2.701693 6.470072    5.328370 4.958735 6.395266    0.037422 2.257042 -0.074806    -1.965138 8.226063 8.234762 -1.973837 5.747858
  10    4  6.072888 2.685839 6.476751    6.095102 4.946168 6.404330    0.022214 2.260329 -0.072421    -1.979674 7.974439 7.996231 -2.001467 5.513051
